author,rating,sentiment_label,date,comment
florimond jouffroy,5,positif,il y a 8 ans,
CorzioXVI,1,negatif,il y a 8 ans,
Victor FILLE BAUDIN,5,positif,il y a 3 mois,"J’ai passé maintenant trois années de ma vie à étudier le graphisme, à me spécialiser dans l’animation, la vidéo et le design. Ce chemin m’a conduit jusqu’à aujourd’hui, vers ma troisième année en alternance en Motion Design à Ynov, campus Aix-en-Provence.

Quand j’ai choisi Ynov, c’était pour ça : entrer dans une école qui ne se contente pas d’enseigner, mais qui bâtit des passerelles solides entre les étudiants et le monde réel. Et je peux dire avec gratitude que cette réalité dépasse mes espérances.

Grâce au talent, à l’écoute et au service constant de toute l’équipe de Ynov Aix, avec Jérôme Jouan (Directeur), Sandrine Dailey (Responsable administrative), Sarah Abdelali (Directrice adjointe Performance commerciale / Relations entreprises), Vanille Thoubert (Chargée de communication et événementiel), Marie Denamiel (Service administratif), Cynthia Clain, Estelle Seyman, Emilie Poli et Laurène Emery (Chargées Relations entreprises), j’ai pu trouver une alternance qui me correspond véritablement.

Chaque échange avec eux, chaque mail, chaque rendez-vous proposé semblait dire : “Nous voulons te voir réussir.” Ce n’est pas juste un métier pour eux, c’est une vocation. Ils vous soutiennent, vous répondent vite, cherchent les meilleures opportunités, vous placent dans des bootcamps et vous poussent à donner le meilleur.

Je tiens à remercier particulièrement Emilie Poli pour sa constance, sa clarté et sa disponibilité. Les mots vous toucheront peut-être, mais savoir que quelqu’un croit en ce que vous voulez devenir change tout.

Ce n’est pas seulement que j’ai trouvé une alternance, c’est que j’ai trouvé un projet avec du sens et une école qui ne vous laisse pas seul au bord du chemin.

Merci à toute l’équipe pour m’avoir accompagné, accompagné mes doutes et mes espoirs. Grâce à vous, je suis prêt à commencer, à donner toute ma passion et mon énergie, et à faire rayonner ce que nous construisons ensemble. Je sais que je vais réussir, et le jour où je serai reconnu, je parlerai de vous avec fierté."
Alex,1,negatif,il y a 4 mois,"École payante pour avoir très peu cours, des intervenants peu motivé, des cours a distance très nombreux et inutile (dont beaucoup où il faut seulement se mettre présent pour remplir sûrement un quota de présence) l'école se base surtout sur le campus en lui-même et le côté professionnel. J'aimerais d'abord pouvoir tenir une caméra plus de 15 minutes en 1an sachant qu'en audiovisuel le principe c'est d'avoir au moins une caméra, bah non la moitié de la classe a pas avoir de caméra (personnelle) n'ont pas l'occasion d'apprendre a en utiliser une. Ça donne super envie quand même les profs montrent des vidéos sur l'IA et disent que c'est la fin du métier. Bref ça sert a rien de payer 8500€ si vous allez même pas dans une vraie école d'audiovisuel"
Camil Yomax,1,negatif,Modifié il y a 4 mois,"Et pour répondre à votre commentaire, vu que vous avez bloqué les réponses, voilà ce que j’ai à vous dire d'arrêter de faire de la com’.

Ce que vous appelez “poésie”, c’est un cri de frustration. Pas juste le mien, mais celui de nombreux étudiants qui se sentent abandonnés, mal informés, et clairement pris pour des clients, pas des apprenants.

Soyons honnêtes :
On nous vend du rêve à l’inscription, avec de belles promesses d’accompagnement, de projets concrets, de lien avec les entreprises… Et une fois qu’on est dedans, on découvre une réalité bien différente :
•	Des infos clés qui arrivent en retard ou jamais,
•	Des interlocuteurs absents ou qui renvoient la balle,
•	Une désorganisation constante,
•	Et surtout, aucune réelle prise en charge des problèmes soulevés.

Tout ça pour des frais de scolarité énormes qui ne sont absolument pas justifiés par le service rendu.
Ça ressemble à une arnaque bien emballée.
Et quand on ose le dire, on nous répond avec des rimes et un sourire ? Désolé, mais ce n’est pas du tout ce qu’on attend.

Si vous tenez vraiment à vous améliorer, commencez par reconnaître que le problème est sérieux, pas juste une “mélodie à réaccorder”.
Nous, ce qu’on vit, ce sont des promesses non tenues et un sentiment d’avoir été piégés.

Alors oui, j’assume pleinement mes mots : à déconseiller fortement, tant que ça reste comme ça."
guillaume NUSBAUMER,5,positif,il y a 2 mois,"Très belle expérience. Nous avons essayé de tester tous les stands.  Les élèves sont au top. Il y en a certains qui se démarquent mais dans l’ensemble, ils s’en sortent bien."
Louis MARTIN,5,positif,il y a 6 mois,"J’ai eu le plaisir de suivre mon Bachelor 3 puis mon Mastère en marketing et communication chez Ynov, et je ne peux que recommander cette école à toute personne souhaitant évoluer dans un environnement stimulant, moderne et tourné vers le monde professionnel.

Durant ces deux années de spécialisation, j’ai énormément appris, tant sur le plan technique que personnel. Les cours sont variés, concrets et toujours en lien avec les réalités du marché. Les intervenants sont passionnés, experts dans leur domaine, et surtout disponibles pour accompagner les étudiants. Ce ne sont pas de simples professeurs : ce sont de véritables mentors qui partagent leur vécu, leurs conseils, et leur énergie.

Ynov m’a également beaucoup aidé dans ma recherche d’alternance, avec un accompagnement régulier, des ateliers pour booster nos candidatures, et un suivi individualisé. Grâce à cela, j’ai pu décrocher deux super expériences professionnelles en parallèle de mes études, ce qui a renforcé ma confiance et mes compétences.

Un mot aussi sur les nouveaux locaux, qui sont tout simplement superbes : modernes, spacieux, bien équipés, et propices au travail en équipe comme à la concentration individuelle. On sent que l’école met tout en œuvre pour offrir un cadre d’apprentissage agréable et motivant, en phase avec les standards actuels.

La vie étudiante est également bien présente. Il y a toujours des événements, des projets collectifs, des afterworks ou des moments de partage. Si on choisit de s’y impliquer, on vit vraiment une expérience humaine enrichissante, pleine de rencontres et de souvenirs.

En résumé, Ynov m’a apporté bien plus qu’un diplôme : elle m’a donné les clés pour réussir mon insertion professionnelle, m’a permis de m’épanouir dans mon domaine, et m’a offert un cadre bienveillant et exigeant à la fois. Un grand merci à l’équipe pédagogique, aux intervenants et à tous ceux qui rendent cette expérience aussi qualitative."
Océane chevalier,1,negatif,il y a 7 mois,"J’ai passé une année de trop chez YNOV, que je considère malheureusement comme inutile. Je suis venue pour me spécialiser dans un domaine créatif, le design, et je me retrouve avec un diplôme de chef de projet digital, très loin de mes attentes.
Mis à part deux intervenants vraiment investis, le reste laisse franchement à désirer. L'administration est totalement dépassée, désorganisée, et peu à l'écoute.

Je m’étais fiée aux avis avant de m’inscrire, et malgré mes doutes initiaux, j’ai voulu tenter. Aujourd’hui, je suis déçue, déçue, déçue.
Ce qui compte chez YNOV, c’est l’argent, pas la qualité de l’enseignement ni la réussite des étudiants.

Le campus est beau, certes, mais ce n’est pas ça qui fait une bonne école. Peut-être faudrait-il investir un peu plus dans des intervenants réellement issus du métier."
Viviane Labarre,5,positif,il y a 2 mois,"Un très trés bon accompagnement, une formation faite par des professionnels tres investis auprès des étudiants
Je recommande vivement"
Chloé Gorissen,5,positif,il y a 6 mois,On a eu la chance de visiter le campus et nous validons totalement ! Les locaux sont top et les équipes vraiment à l’écoute (mention spéciale pour Vanille qui a prit tout le temps nécessaire pour nous renseigner  !!) Merci pour tout :)
eli a,5,positif,il y a 8 mois,"J'ai effectué mon Bachelor en marketing et communication chez Ynov. J'ai développé un éventail de compétences variées grâce à la diversité des enseignements et à l'alternance. C'est une formation que je recommande sans hésiter. Coeur sur toi Adeline, si tu passes par là 🫶🏻😂 …"
electro Walker,5,positif,il y a un an,"J'ai fais entièrement le cursus informatique avec Aix Ynov Campus et toutes mes années se sont très bien passées. Tout n'est pas parfait c'est sûr, mais à chaque fois que des éléments dérangeants sont remontés à l'équipe administrative ou pédagogique, des actions sont faites pour satisfaire au mieux les étudiants, tout en donnant de l'importance au diplôme. Je recommande"
Raphaël TORNAMBE,5,positif,il y a un an,"Une formation en audiovisuel de qualité, dans un cadre unique pour apprendre et s’épanouir !

Actuellement en troisième année du Bachelor Audiovisuel à Aix Ynov Campus, j’ai suivi l’ensemble de ma formation au sein de cette école, et je ne peux que la recommander vivement.

Le point fort d’Ynov, c’est sa pédagogie par projets. On apprend en pratiquant, ce qui donne un vrai sens à chaque matière. Les intervenants sont des professionnels du secteur, passionnés et toujours prêts à partager leur expertise, quel que soit le domaine enseigné. Cela permet de développer nos compétences de manière structurée tout en stimulant notre créativité.

Le programme est particulièrement bien ficelé, avec une progression logique entre les cours. Ce parcours progressif rend l’apprentissage fluide et intuitif, même pour des notions totalement nouvelles.

Les projets que nous réalisons sont variés et nous permettent de changer de rôle à chaque fois : réalisateur, technicien de production, pré-production, post-production… C’est un véritable atout, car nous sortons diplômés avec une expérience généraliste solide dans les différents métiers de l’audiovisuel. Toutefois, je conseille vivement à tous les futurs étudiants de développer des projets personnels en parallèle, en photo ou en vidéo, afin d’accélérer leur progression dans les domaines qui les passionnent (cadrage, mixage-son, colo, prod...).

En ce qui concerne les équipements, l’école dispose d’un parc matériel audiovisuel impressionnant, avec des outils de qualité professionnelle. Cela nous permet de nous familiariser avec des équipements que l’on retrouve ensuite en entreprise. Grâce aux stages et aux alternances, comme celle que je fais actuellement en tant qu’assistant chargé de communication, vidéaste et photographe pour l'école.
Nous pouvons mettre en pratique ces compétences dans des situations réelles, ce qui renforce notre formation.

L’écosystème informatique est également un point fort. L’extranet est bien conçu, les outils numériques sont intuitifs, et l’école prend régulièrement en compte les retours des étudiants pour s’améliorer (via des sondages par exemple.). Le suivi des stages est réel : on ne se sent jamais abandonné, et l’administration veille à ce que chaque étudiant trouve des stages adaptés à son parcours.

De plus, l’expérience étudiante est enrichie par de nombreux événements, tels que les week-ends d’intégration, les soirées cinéma ou encore les midis crêpes , qui renforcent la cohésion entre les élèves.

Et enfin, un grand merci à Vanille Thoubert, la chargée de communication, qui est un véritable rayon de soleil. Toujours souriante, disponible et à l’écoute, elle est un soutien précieux pour les étudiants et contribue à l’ambiance chaleureuse et bienveillante de l’école.

En résumé, Aix Ynov Campus est une école que je recommande sans hésitation. On y apprend en s’amusant, et surtout, on y grandit autant sur le plan technique qu’humain."
Nabeth Mickael,1,negatif,il y a 3 mois,"Employeur, faites pas de contrat avec cette école ! Ils sont inutiles.
Ils sont utiles qu’à prendre de l’argent !"
alexandre,5,positif,il y a 2 mois,"Corp Design, Dream House, Marc & Cie ont été très interessants, ils ont bien vendu leurs projets"
Feather Draw,5,positif,il y a un an,"J'ai effectué et terminé mes études chez Aix Ynov Campus, 5 années difficiles mais très enrichissantes, diplôme et titre RNCP en poche !
Je ne vais pas dire que l'école est parfaite, aucune ne l'est vraiment de toute façon mais cette école propose d'importantes infrastructures et quantité de matériel pour les filières et c'est important de le souligner ! L'équipe pédagogique est réellement à l'écoute quand on leur expose un problème et fera en sorte de les régler dans la mesure du possible, c'est agréable de se sentir écouté et surtout de voir que des actions sont mises en place quand on les demandes et que ces demandes sont justifiées.
Côté formation, les formateurs sont tous des professionnels, donnant au cours et modules une dimension plus actuelle.
Je recommande donc cet établissement.

H.VASSY"
Alain QUETIER,5,positif,il y a un an,"Je suis étudiant en Cybersécurité au centre Ynov à Aix-en-Provence et je tiens à exprimer ma satisfaction concernant le CTF intercampus auquel j'ai eu la chance de participer. L'événement était remarquablement bien organisé par Adeline et Benoît. C'est une véritable opportunité pour nous, étudiants, de participer à ce type d'événements qui stimulent notre passion et nos compétences. Il s'agissait d'une très belle édition que j'aimerais voir se reproduire à l'avenir. Un grand bravo et un immense merci à eux pour leur engagement et leur professionnalisme !"
franck verde,5,positif,il y a un an,"Le campus Ynov est un excellent choix pour les étudiants. Avec des installations modernes, des programmes alignés avec le marché du travail et des enseignants passionnés, il offre un environnement d'apprentissage stimulant et pratique. De plus, grâce à ses nombreux partenariats avec des entreprises, Ynov ouvre de belles perspectives de carrière à ses diplômés."
Ënos S. (Xelope_Dreich),5,positif,il y a un an,"** actuellement étudiant en 3D Animation et jeux vidéos **

Ce que j'adore avec Ynov, c'est à quel point l'administration est à l'écoute permanente de nos problèmes, et cherche toujours à nous aider à les résoudre, en plus de leurs charges de travail habituelles.

Les intervenants sont aussi disponibles pour nous aider même en dehors des heures de cours, et nous pousses à développer notre esprit créatif avec beaucoup de projets aux thématiques larges, en plus de nous laisser beaucoup d'autonomie sur ces projets.

Merci à vous pour tout ce que vous faites au quotidien, et pour nous aider dans nos études."
jeanne mulatero,5,positif,il y a 8 mois,"Merci Ynov pour cette journée de folie avec le BDE, FOW, Aria. J’ai adoré, mélanger, travail et activité. Le principe des start-up le mercredi est la meilleure décision.
Encore merci à toutes ces start-up, de faire vivre notre campus et merci Ynov de nous faire vivre ces moments inoubliables 🫶🏼🫶🏼🫶🏼"
Hadrian Molieres,1,negatif,il y a un an,"J'ai clairement passé mon année en B3 Communication à être sur ChatGPT et à faire du copier-coller sur Canva. Il y a eu de bons intervenants, mais les autres sont inqualifiables. La plupart nous donnent 50 diapositives par cours sans mettre en pratique ce qu'on voit. Tout ça pour finir les modules avec des présentations faites à 100 % avec ChatGPT. J'ai essayé plusieurs fois sans l'IA et ce sont celles où j'ai eu les plus mauvaises notes malgré mon implication.

Concernant les intervenants, faites venir de vrais professionnels, pas des gens réputés sur LinkedIn ayant un bon réseau. Car cela finit souvent avec des matières où les cours sont ennuyeux et où l'on ressent le manque d'envie de partager des compétences.

Bref dégouté d'être venu des étoiles plein les yeux, voulant découvrir la communication tout en ayant des bonnes notes tout ça pour finir l'année là boule au ventre en allant à Ynov..."
Suha,5,positif,il y a un an,"Je tiens à remercier Vanille, chargée de communication à Ynov Aix campus, pour son accompagnement du 21 mai au 28 juin. Grâce à son dynamisme et sa bienveillance, j’ai pu réaliser des tâches qui correspondaient parfaitement avec ce qui m’était demandé dans mon lycée. Elle a su me guider et m’orienter tout en me laissant une grande liberté d’initiative. Cette expérience m’a permis de découvrir le monde du travail  et la SUPERBE ambiance  d’Ynov Aix, un campus où les étudiants sont épanouis et font ce qu’ils aiment. Je recommande vivement à tous ceux qui envisagent de poursuivre leurs études dans un campus  aussi  enrichissant et moderne ! Un grand merci encore à Vanille et à toute l’équipe !😊"
Mae (“May”),2,negatif,il y a un an,"École qui n’accompagne pas ses élèves dans leurs futurs , ils se contentent juste de donner des cours. Ils enfoncent les bons élèves pour “essayer” de mettre en avant les plus faibles quite à mettre leurs talents de côté ce qui leurs font perdre toutes confiance en eux ! Bref à oublié si vous voulez réussir en étant au maximum de votre niveau ou vous serez mis de côté !"
Luca Baret,5,positif,il y a un an,"Bonjour, voici ma vision d'ynov pour le campus d'Aix-en-Provence.

Je suis en filière informatique, la philosophie d'ynov, basé sur le travail en équipe et la collaboration est très bien exécutée dans la plupart des formations, enfin une école avec une vision plus pro que scolaire.

Les formateurs, dans la majorité des cas, sont très bons tant sur le plan technique que sur le plan humain, avec une volonté de faire progresser les élèves et de faire sortir les élèves de leurs zones de confort avec une approche novatrice du programme.

Le principe de Ydays, qui est très cool à mon sens, qui peut apporter beaucoup si l'on s'investit un minimum.

Le campus d'Aix en 2024 est pas mal, mais le nouveau campus sera sûrement encore mieux.

Quant à l'équipe pédagogique, elle est au top, toujours à l'écoute, étant en situations de handicap, des aménagements, on était mis en place sans difficulté, un réel soutien de la part de l'équipe pédagogique qui est vraiment proche de ses étudiants et présents quand on a besoin d'eux.

Merci à vous."
Pablo ZUCCO,1,negatif,il y a 2 ans,"Bonjour,

Ce message correspond au bilan de mes trois années à Aix Ynov Campus dans la filière audiovisuel (laissée à l'abandon).
Il est regrettable de constater que mon expérience à l'école Aix Ynov Campus a été très décevante.
Cette institution se prétendant être une école innovante semble plus axée sur l'exploitation financière de ses étudiants que sur la prestation d'une éducation de qualité.

Tout d'abord, les cours dispensés (pour certains intervenants) sont d'une qualité médiocre et stagnent depuis plusieurs années. J'ai été consterné de constater que les mêmes contenus pédagogiques étaient recyclés année après année, laissant peu de place à l'innovation et à l'évolution nécessaire pour rester pertinent dans un monde en constante mutation.

L'administration de l'école est tout simplement catastrophique.
Dieu merci, certaines personnes restent aimables et à l'écoute.
Non seulement elle semble désintéressée par les préoccupations et les besoins des étudiants, mais elle est également très inefficace dans la résolution des problèmes.
Les multiples difficultés auxquelles j'ai été confronté au cours de mes trois années à l'école ont été souvent minimisées, voire ignorées, laissant les étudiants se débrouiller seuls face à leurs frustrations.

En parlant de problèmes, l'école Aix Ynov Campus en est parsemée.
Le matériel audiovisuel fourni aux étudiants est dans un état déplorable, souvent défectueux, cassé ou tout simplement en mauvais état. Cela a considérablement entravé l'expérience d'apprentissage et a ajouté une couche supplémentaire de frustration à une expérience déjà décevante.

En somme, je ne peux que conseiller vivement d'éviter cette école. Les promesses de qualité éducative et d'accompagnement sont loin d'être tenues, laissant les étudiants avec une sensation d'abandon et de mécontentement. Il existe certainement de meilleures options éducatives ailleurs, où les étudiants sont pris au sérieux et où l'excellence académique est réellement poursuivie."
Christopher Ferré,1,negatif,il y a 2 ans,"Bonjour à tous,

Ceci est mon récapitulatif de mes 3 années d'audiovisuel au sein d'Ynov Campus Aix-en-Provence.

Je tiens à exprimer mes préoccupations profondes concernant les nombreux problèmes que j'ai rencontrés au sein de notre école d'audiovisuel. Mon but est d'améliorer la qualité de l'enseignement et l'expérience des étudiants, afin que nous puissions tous bénéficier d'un environnement éducatif plus propice à notre épanouissement.

Tout d'abord, l'administration de notre école est en état de désastre. Les retards dans le traitement des demandes administratives, le manque de communication et l'absence de suivi des problèmes soulevés par les étudiants ont eu un impact significatif sur notre expérience éducative. Nous méritons une administration plus efficace et réactive.

En ce qui concerne le matériel, nous sommes confrontés à des équipements défectueux qui entravent notre apprentissage. L'absence de réparation ou de remplacement rapide de ces équipements a un impact négatif sur nos projets et notre progression. Un accès constant à du matériel de qualité est essentiel pour une école d'audiovisuel.

De plus, il est inacceptable que certaines classes ne disposent pas de suffisamment de chaises et de tables voir de places pour accueillir tous les élèves. Cela crée un environnement inconfortable et perturbe notre concentration. Tous les étudiants devraient avoir accès à des installations adéquates pour faciliter leur apprentissage.

Un autre problème grave est le changement inattendu de diplôme en cours de route, ce qui perturbe nos plans académiques et professionnels. Les contrats initiaux ne sont pas respectés, ce qui entraîne une perte de confiance dans l'établissement surtout pour le prix que nous payons (8000€ l'année).

La qualité pédagogique laisse également à désirer, avec des enseignants dont les compétences et l'engagement sont parfois remis en question. Nous attendons une équipe pédagogique hautement qualifiée et dévouée pour nous guider dans notre formation.

Enfin, il est regrettable que l'école semble parfois privilégier des intérêts commerciaux au détriment de ses étudiants. Il est essentiel que l'éducation soit la priorité absolue, et non la maximisation des profits.

Malgré les nombreux défis que j'ai rencontrés, je garde un bon souvenir de cette période, car j'ai eu la chance de rencontrer des personnes exceptionnelles, dont mes deux associés avec qui nous construisons maintenant notre entreprise d'audiovisuel.

Je vous invite vivement à vous référer à l'article Libération ""«J’ai acheté du gros flan» : Eicar, l’école de ciné qui ne vend que du rêve"" qui dénonce le groupe YNOV.

En conclusion, je vous exhorte à prendre des mesures immédiates pour résoudre ces problèmes et améliorer notre école d'audiovisuel. Nous, en tant qu'étudiants, méritons un environnement d'apprentissage de qualité, un respect de nos contrats et une administration efficace.

Cordialement,

FERRÉ Christopher
Promotion 2020 - 2023"
Téo Mercier,1,negatif,il y a un an,"Ayant été dans la filière ""audiovisuel"", j’ai littéralement appris 250x plus en 3 semaines de vidéo Youtube qu’en 3ans chez Ynov.
Tout est très clair, le but est d’emballer les gamins qui sortent des études et qui sont pommés et accompagnés par des parents qui ne comprennent pas le milieu, et ainsi leur escroquer un maximum d’argent (oui 24 000€).
Je n’ai jamais assisté à des cours aussi vides et creux qu’à Ynov.
Mais leur arnaque est littéralement bien pensée !
En 2ème année, j’ai émis l’idée de quitter l’école, et voilà que les représentants pédagogiques m’ont enfermé dans une salle pour faire les éloges de mes compétences et m’amadouer, c’était réussi.
À aucun moment vous n’apprendrez quoi que ce soit sur le cinéma, ni l’audiovisuel.
Mis à part 3 cours de communication vraiment mauvais il n’y a rien d’autre, mon diplôme a même changé en cours d’année (passant de audiovisuel à communication)…
Ils savent ce qu’ils font, c’est une école de marketing alors ils savent trouver les mots pour vous convaincre, mais ne vous laissez pas avoir.
Si vous voulez travailler dans le cinéma, il n’y a qu’une seule voie à suivre : les stages et rien d’autre.
J’ai réussi à me relever avec un long prêt à la banque qui va me suivre pendant encore quelques années alors que n’ai que 24ans, mais on garde la tête haute !

En bref, FUYEZ CETTE ÉCOLE !"
Malik Moha,1,negatif,il y a 4 mois,"Ne vous faites pas avoir un très gros conseil et je m’adresse au personne qui souhaite s’inscrire à ce campus pas au campus, je ne souhaite pas avoir une réponse de leur part"
-,5,positif,il y a 10 mois,"Une merveilleuse équipe, un plaisir de travailler avec eux et de voir à quel point ils souhaitent la réussite de leurs étudiants. Un exemple pour les autres écoles. 5/5"
Léo Guinchard,5,positif,il y a un an,"Étudiant en Marketing communication en Bachelor 2, Ynov a su m'apporter son aide pour mes projets personnels, me donnant accès à leurs locaux et à lerus matériel me permettant d'approcher le milieu de l'organisation de l'évènementiel beaucoup plus sereinement. L'ambience y est assez agréable tout comme la vie sur le campus. Fortement conseillé !"
Fanny Guilloux,4,positif,il y a 4 ans,"Étudiante à Ynov depuis 3 ans en filière Marketing & Communication, avec de nombreux échos au quotidien, il me semble évident que l'école ne peut répondre aux attentes et/ou à la réalité de chacun.  Il y a du positif et du négatif, ce qui, jusque là, ne devrait étonner personne.

𝗟𝗲𝘀 𝗽𝗼𝗶𝗻𝘁𝘀 𝗽𝗼𝘀𝗶𝘁𝗶𝗳𝘀 𝗮̀ 𝗿𝗲𝗹𝗲𝘃𝗲𝗿, 𝗱'𝗮𝗽𝗿𝗲̀𝘀 𝗺𝗲𝘀 𝗱𝗶𝘃𝗲𝗿𝘀𝗲𝘀 𝗲𝘅𝗽𝗲́𝗿𝗶𝗲𝗻𝗰𝗲𝘀 :
- les intervenants sont très bienveillants, disponibles et à l'écoute en cas de besoin (à prendre en compte : si vous êtes 40 en classe, le suivi individuel est forcément plus complexe qu'une salle de 10 étudiants),

- La transversalité que propose l'école, en particulier à travers les Ydays mais également par la possibilité de participer à des cours de différentes filières en dehors de nos heures de modules obligatoires (cours par demi-journées pour les B1/B2).

- Les projets sont de plus en plus concrets, il y a de moins en moins de fictif,

- Forum et mails, postes à pourvoir pour des stages et alternances afin de nous aider dans nos recherches...

- L'ensemble de la pédagogie, sympathique, ouverte et plutôt proche des étudiants.

𝗘𝗻 𝗰𝗲 𝗾𝘂𝗶 𝗰𝗼𝗻𝗰𝗲𝗿𝗻𝗲 𝗹𝗲𝘀 𝗽𝗼𝗶𝗻𝘁𝘀 𝗻𝗲́𝗴𝗮𝘁𝗶𝗳𝘀 :
- Les classes, parfois trop nombreuses qui ne sont pas adaptées pour évoluer dans certains modules comme PAO (malgré que les intervenants arrivent à s'adapter, cela ne vaut pas un apprentissage en petit groupe),

- Les étudiants qui attendent constamment après les autres pour avoir des réponses, qui ne sont pas très ""proactifs"" et ""acteurs de leur formation""...🙃 Malheureux pour l'école qui prône le ""professionnalisme"", notion abstraite pour beaucoup, tous niveaux confondus, ce qui peut pénaliser les bons éléments. (Cependant, la pédagogie peut apporter des solutions, lorsqu'on a la volonté d'aller les chercher puisque ""nous sommes acteurs de notre formation"")

- La communication et l'organisation ne sont pas sans failles entre l'administration et les étudiants (mais une pensée pour ceux qui ne lisent pas les mails et critiquent davantage),

- La redondance des cours. Une 3ème année ""pesante"" lorsque les cours portent globalement sur les mêmes notions que les années précédentes du Bachelor, et qu'une majorité en B3, par exemple, sont de ""nouveaux étudiants"" qui ne les maîtrisent pas. Cependant, l'alternance en 3ème année est un vrai + ! (Un avis strictement personnel puisque nous sommes tous différents, d'autres peuvent en ressentir le besoin et ne pas trouver ceci répétitif)

𝟰/𝟱 𝗲́𝘁𝗼𝗶𝗹𝗲𝘀
Si vous vous donnez les moyens de découvrir, d'apprendre, de chercher, que vous êtes proactif, investis dans votre ""scolarité"" et votre développement professionnel, vous réussirez sans aucun doute 🙂 Bref, cohérent avec le principe d'Ynov, la ""pédagogie inversée"" !"
Celia Leano,2,negatif,il y a un an,"Mon fils est actuellement en première année de  Mastere animation 3d
Je ne jugerais pas les cours j ai de bon retour
Ce qui me dérange  vraiment c est qu on nous a vendu une  possibilité d alternance sans aucun problème  pour les deux dernières années   lors de son inscription en première année  de bachelor face à mes retissances  financières  et que maintenant après un an de recherche nous n avons toujours rien ni par nos moyens  ni par l école qui pour l instant parle  beaucoup mais n a pas beaucoup de résultat ce qui va nous mettre bientôt dans l embarras financier.
Malheureusement la moitié de sa classe est dans le même cas.
Moi je dis vraiment il faut réfléchir à la façon de financer cette école si vous voulez la faire et ne pas croire que le parcours est facile parce que mon fils se retrouve avec un prêt étudiant sur le dos et pas de salaire pour le rembourser et deux années de Mastère à financer en plus maintenant!"
Loïc,5,positif,il y a 3 ans,"Arrivé tout fraichement en B3 l’année dernière, je commence à me faire mon avis sur cette école.

J’ai intégré une autre école spécialisée en informatique durant mes 2 premières années. Un beau jour d’août 2020, j’apprends que mon campus, alors géré par une entreprise tierce, est « victime » d’une liquidation judiciaire.

Me voilà fraichement arrivé à Ynov. Autant vous dire que je suis chanceux d’avoir trouvé une école qui pouvait m’accueillir. Parlons maintenant des points mis en avant par Ynov.

La « pédagogie inversé » est une excellente idée mais ne correspond pas à toutes les personnes. Si vous en avez marre des cours de philosophie et que vous avez envie de pratiquer, alors vous allez aimer ce type de pédagogie. Dans certains cas, vous allez pouvoir bosser sur des projets passionnants donner par des intervenants tout autant passionnants.

Au contraire, certaines fois, vous allez tomber sur des intervenants certes qualifiés, mais pas du tout pédagogue car il faut rappeler que les intervenants dans le supérieur ne sont pas des « profs », ils n’ont pas obtenu le CAPES, ce sont des professionnelles qualifiées dans un ou plusieurs domaines.

C’est ici que l’administration rentre en jeu. C’est l’une des forces de l’école. Autant le directeur que la co-directrice que des chargées d’admissions, ces personnes sont disponibles pour nous, à notre écoute et cherche constamment à améliorer la vie des étudiants. Alors oui, ce n’est pas parfait, alors oui quelquefois des informations sont mal transmises mais vous ne pourrez jamais reprocher leur non-présence pour les étudiants.

Enfin, la plus belle plus-value à mon gout sont les Ydays. Pour faire simple, les Ydays repose sur le principe d’incubateur d’entreprises. Vous avez une problématique ou une envie de reprendre un projet existant, alors vous pouvez créer ou reprendre une startup et construire votre équipe avec des étudiants d’Ynov. Vous voulez par exemple développer un « amazon V2 » vous allez avoir besoin de développeur pour votre site, des market pour créer votre strat de com, de créa pour votre charte graphique et enfin d’un chef de projet pour que tout le monde marche dans le même sens.

Par retour d’expérience, étant chef de projet cette année, j’ai pu développer beaucoup de compétences transverses, prendre confiance en moi enfin être fier de mon travail. Cette expérience permet une vraie montée en compétence.

Ne craignez pas l’échec, foncez !!!!!! L’école nous permet de se tromper, il faut en profiter !!

Aujourd’hui, les entreprises ne recherchent plus seulement un « expert » dans un domaine précis, elles cherchent des couteaux suisses !!

En conclusion, le meilleur conseil reste de venir rencontrer les étudiants, l’admin, les locaux lors des JPOs ou des salons, vous vous ferez une meilleure idée d’Ynov."
Anais Ulrich,5,positif,il y a 2 ans,"J’ai fait cinq ans à ynov !

Comme chaque école, il y a des points positifs comme négatif.

Cette école a évolué en cinq ans.
J’en sors avec plein de souvenirs et une méthode de travail juste génial .

L’administration est vraiment à l’écoute et s’adapte vraiment au problématique des élèves. Ils savent également se remettre en question et trouver des solutions.

Merci pour ces cinq années"
